captured_date,rank,player_ref,points_post_bronze,podium_champion,podium_runnerup,podium_third,spain_holder,notes
2026-07-18,1,P1,700,Germany,England,Spain,no,champ Germany dead / RU England dead (England is THIRD not RU) / third Spain dead (Spain in final); podium scores 0 both final outcomes; base only
2026-07-18,2,P2,690,Spain,Portugal,Brazil,champ,Spain-champion; POR+BRA dead; +30 only if Spain wins -> 720 = 1st
2026-07-18,3,P3,679,Spain,France,Argentina,champ,Spain-champion; France-RU + Argentina-third dead; +30 if Spain wins -> 709 = 2nd; the player just ahead of us
2026-07-18,4,P4,673,Spain,France,Argentina,champ,Spain-champion; thirds dead; +30 if Spain wins -> 703; the closest chaser BELOW us (gap 4)
2026-07-18,5,P5,671,Spain,France,Portugal,champ,Spain-champion; thirds dead; +30 if Spain wins -> 701
2026-07-18,6,P6,670,France,England,Colombia,no,all dead in Spain-or-Arg world; base only 670
2026-07-18,7,P7,668,France,Brazil,England,third,England-third LIVE +10 (England won bronze) -> 678 both outcomes; France+Brazil dead; cannot reach us (678+20<707)
2026-07-18,8,P8,667,Portugal,Spain,France,runnerup,Spain as RUNNER-UP: +20 ONLY if ARGENTINA wins final (Spain RU) -> 687 = jumps to 3rd in the Argentina world; in Spain-wins world stays 667 harmless
2026-07-18,9,US,667,Spain,France,England,champ,THIS IS US (confirmed in app); Spain-champ +30 AND England-third +10 (LOCKED); France-RU dead; Spain wins -> 707 = 3rd MONEY; Argentina wins -> 677 = out
2026-07-18,10,P10,666,Brazil,France,Spain,no,all dead (Brazil champ dead / France RU dead / Spain third dead); base only 666
